,Book title,author,Achievement
1,TOO LATE,Colleen Hoover,2 weeks on the list
2,FOURTH WING,Rebecca Yarros,10 weeks on the list
3,IT ENDS WITH US,Colleen Hoover,108 weeks on the list
4,THE FIVE-STAR WEEKEND,Elin Hilderbrand,4 weeks on the list
5,HAPPY PLACE,Emily Henry,11 weeks on the list
6,KILLERS OF THE FLOWER MOON,David Grann,84 weeks on the list
7,THE WAGER,David Grann,12 weeks on the list
8,OUTLIVE,Peter Attia with Bill Gifford,15 weeks on the list
9,THE BODY KEEPS THE SCORE,Bessel van der Kolk,150 weeks on the list
10,UNBROKEN BONDS OF BATTLE,Johnny Joey Jones,2 weeks on the list
11,FOURTH WING,Rebecca Yarros,9 weeks on the list
12,HAPPY PLACE,Emily Henry,11 weeks on the list
13,LESSONS IN CHEMISTRY,Bonnie Garmus,61 weeks on the list
14,THE FIVE-STAR WEEKEND,Elin Hilderbrand,4 weeks on the list
15,THE COVENANT OF WATER,Abraham Verghese,10 weeks on the list
16,OUTLIVE,Peter Attia with Bill Gifford,15 weeks on the list
17,THE WAGER,David Grann,12 weeks on the list
18,I'M GLAD MY MOM DIED,Jennette McCurdy,48 weeks on the list
19,UNBROKEN BONDS OF BATTLE,Johnny Joey Jones,2 weeks on the list
20,1964,Paul McCartney,4 weeks on the list
21,TOO LATE,Colleen Hoover,2 weeks on the list
22,IT ENDS WITH US,Colleen Hoover,114 weeks on the list
23,IT STARTS WITH US,Colleen Hoover,38 weeks on the list
24,ICEBREAKER,Hannah Grace,21 weeks on the list
25,VERITY,Colleen Hoover,100 weeks on the list
26,KILLERS OF THE FLOWER MOON,David Grann,123 weeks on the list
27,THE BODY KEEPS THE SCORE,Bessel van der Kolk,246 weeks on the list
28,CRYING IN H MART,Michelle Zauner,15 weeks on the list
29,ALL ABOUT LOVE,bell hooks,83 weeks on the list
30,BRAIDING SWEETGRASS,Robin Wall Kimmerer,169 weeks on the list
31,ATOMIC HABITS,James Clear,189 weeks on the list
32,THE CREATIVE ACT,Rick Rubin with Neil Strauss,25 weeks on the list
33,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,301 weeks on the list
34,CAN'T HURT ME,David Goggins,41 weeks on the list
35,"MAGNOLIA TABLE, VOL. 3",Joanna Gaines,10 weeks on the list
36,THE SUN AND THE STAR,Rick Riordan and Mark Oshiro,10 weeks on the list
37,REFUGEE,Alan Gratz,228 weeks on the list
38,WONDER,R.J. Palacio,404 weeks on the list
39,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,161 weeks on the list
40,"CATCH A CRAYFISH, COUNT THE STARS",Steven Rinella with Brody Henderson. Illustrated Max Temescu,4 weeks on the list
41,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,360 weeks on the list
42,HOW TO CATCH A MERMAID,Adam Wallace. Illustrated Andy Elkerton,15 weeks on the list
43,HOW TO CATCH A UNICORN,Adam Wallace. Illustrated Andy Elkerton,48 weeks on the list
44,DRAGONS LOVE TACOS,Adam Rubin. Illustrated Daniel Salmieri,406 weeks on the list
45,THE DAY THE CRAYONS QUIT,Drew Daywalt. Illustrated Oliver Jeffers,368 weeks on the list
46,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,64 weeks on the list
47,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,93 weeks on the list
48,DIARY OF A WIMPY KID,written and illustrated Jeff Kinney,747 weeks on the list
49,HARRY POTTER,J.K. Rowling,746 weeks on the list
50,THE HUNGER GAMES,Suzanne Collins,283 weeks on the list
51,SOLITAIRE,Alice Oseman,10 weeks on the list
52,FIVE SURVIVE,Holly Jackson,32 weeks on the list
53,NICK AND CHARLIE,Alice Oseman,27 weeks on the list
54,THE FIRST TO DIE AT THE END,Adam Silvera,40 weeks on the list
55,DIVINE RIVALS,Rebecca Ross,3 weeks on the list
